task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
10,1,compound,few,compound_few,"  nouskeing = ""wide orange""
  seflousdod = ""enormous purple""
  nauffpreffploil = ""small golden""
  skinggeis = ""short green""",skinggeis,short green,compound (size+color)
11,2,compound,few,compound_few,"  poushoup = ""small red""
  snabbloul = ""short blue""
  muspop = ""tall silver""
  haineinttwet = ""enormous golden""",muspop,tall silver,compound (size+color)
12,0,compound,mid,compound_mid,"  zentmouff = ""enormous blue""
  lamoux = ""wide silver""
  frouffloik = ""tall orange""
  glaiseislud = ""small golden""
  floufrijaint = ""large red""
  trofraikvaff = ""short purple""
  spotwawel = ""tiny green""
  seiclouffking = ""thin yellow""",floufrijaint,large red,compound (size+color)
13,1,compound,mid,compound_mid,"  romelfloung = ""tall yellow""
  zilitjaint = ""small orange""
  dravoup = ""large golden""
  nushtreispeim = ""thin purple""
  paifflom = ""wide red""
  rauskauk = ""tiny silver""
  kasnaukgaik = ""short blue""
  vaisox = ""enormous green""",kasnaukgaik,short blue,compound (size+color)
14,2,compound,mid,compound_mid,"  wrauweis = ""small golden""
  kistauk = ""tall purple""
  slaxwul = ""short yellow""
  paugroicraux = ""thin blue""
  koukuk = ""tiny green""
  beidboub = ""enormous orange""
  broikauwunt = ""wide red""
  bedoclint = ""large silver""",bedoclint,large silver,compound (size+color)
15,0,compound,many,compound_many,"  wikskail = ""large purple""
  troiptib = ""small yellow""
  kaugoimiff = ""wide silver""
  zauroproib = ""tiny orange""
  cloileimp = ""thin green""
  saidraislen = ""thin green""
  sausaul = ""tall red""
  toraufourn = ""short blue""
  fleprub = ""enormous golden""
  wrusaukus = ""enormous golden""
  snaclang = ""large purple""
  vouclabeill = ""small yellow""",fleprub,enormous golden,compound (size+color)
16,1,compound,many,compound_many,"  taullpex = ""small golden""
  gridroidlirn = ""short orange""
  tapiteib = ""wide purple""
  bleibmeix = ""small golden""
  skoslillgrint = ""tiny yellow""
  fiskeid = ""wide purple""
  blebplep = ""large red""
  snoivoil = ""enormous silver""
  bouvousoff = ""tall blue""
  sinskoirn = ""large red""
  zoimpvoiskeirn = ""tiny yellow""
  deiseill = ""thin green""",snoivoil,enormous silver,compound (size+color)
17,2,compound,many,compound_many,"  twintwril = ""thin purple""
  piclaubmount = ""tiny green""
  tainttoff = ""large red""
  clifrablis = ""tall golden""
  groukskaimout = ""large red""
  globleseish = ""small silver""
  glaixsleix = ""wide orange""
  foshnocrois = ""enormous blue""
  relblam = ""tiny green""
  jaufaistaung = ""short yellow""
  haternclaub = ""tall golden""
  peisleilourn = ""thin purple""",relblam,tiny green,compound (size+color)
18,0,relational,few,relational_few,"  woutun- = ""extremely (modifier)""
  sipswaut = ""purple""
  fleibloint-sipswaut = ""not purple""
  fleibloint-fredoufeish = ""not red""",woutun-sipswaut,extremely purple,relational (modifier+base composition)
19,1,relational,few,relational_few,"  nauffpreffploil- = ""not (modifier)""
  prastouff-seflousdod = ""very yellow""
  nouskeing = ""blue""
  skinggeis = ""red""",nauffpreffploil-skinggeis,not red,relational (modifier+base composition)
20,2,relational,few,relational_few,"  waiplaux-haineinttwet = ""extremely blue""
  poushoup- = ""not (modifier)""
  waiplaux- = ""extremely (modifier)""
  haineinttwet = ""blue""",poushoup-haineinttwet,not blue,relational (modifier+base composition)
21,0,relational,mid,relational_mid,"  trofraikvaff = ""blue""
  seiclouffking- = ""not (modifier)""
  spotwawel- = ""extremely (modifier)""
  seiclouffking-lamoux = ""not orange""
  spotwawel-lamoux = ""extremely orange""
  floufrijaint-lamoux = ""barely orange""
  lamoux = ""orange""
  floufrijaint- = ""barely (modifier)""",floufrijaint-trofraikvaff,barely blue,relational (modifier+base composition)
22,1,relational,mid,relational_mid,"  vaisox = ""purple""
  romelfloung = ""orange""
  dravoup-nushtreispeim = ""extremely blue""
  nushtreispeim = ""blue""
  zilitjaint- = ""very (modifier)""
  dravoup-vaisox = ""extremely purple""
  rauskauk- = ""not (modifier)""
  zilitjaint-vaisox = ""very purple""",rauskauk-romelfloung,not orange,relational (modifier+base composition)
23,2,relational,mid,relational_mid,"  wrauweis- = ""slightly (modifier)""
  bedoclint- = ""not (modifier)""
  slaxwul = ""yellow""
  kistauk- = ""very (modifier)""
  koukuk- = ""barely (modifier)""
  paugroicraux = ""orange""
  broikauwunt = ""blue""
  beidboub = ""purple""",wrauweis-paugroicraux,slightly orange,relational (modifier+base composition)
24,0,relational,many,relational_many,"  saidraislen-cloileimp = ""barely silver""
  zauroproib- = ""slightly (modifier)""
  wrusaukus-fleprub = ""almost orange""
  wikskail = ""golden""
  wrusaukus- = ""almost (modifier)""
  saidraislen-kaugoimiff = ""barely blue""
  cloileimp = ""silver""
  vouclabeill = ""purple""
  snaclang- = ""extremely (modifier)""
  toraufourn- = ""very (modifier)""
  kaugoimiff = ""blue""
  troiptib- = ""not (modifier)""",troiptib-kaugoimiff,not blue,relational (modifier+base composition)
25,1,relational,many,relational_many,"  bleibmeix- = ""barely (modifier)""
  gridroidlirn = ""red""
  sinskoirn = ""orange""
  tapiteib- = ""not (modifier)""
  bouvousoff- = ""slightly (modifier)""
  deiseill = ""blue""
  tapiteib-fiskeid = ""not golden""
  taullpex = ""purple""
  snoivoil- = ""very (modifier)""
  fiskeid = ""golden""
  blebplep- = ""almost (modifier)""
  skoslillgrint- = ""extremely (modifier)""",bouvousoff-gridroidlirn,slightly red,relational (modifier+base composition)
26,2,relational,many,relational_many,"  groukskaimout- = ""barely (modifier)""
  peisleilourn = ""red""
  relblam- = ""very (modifier)""
  clifrablis = ""yellow""
  twintwril- = ""extremely (modifier)""
  haternclaub- = ""not (modifier)""
  piclaubmount = ""golden""
  jaufaistaung- = ""almost (modifier)""
  glaixsleix = ""green""
  haternclaub-glaixsleix = ""not green""
  globleseish-tainttoff = ""slightly orange""
  foshnocrois = ""blue""",groukskaimout-peisleilourn,barely red,relational (modifier+base composition)
