task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
11,2,moderate,few,moderate_few,"(4, 4, 7) -> (5, 8, 6)
(9, 1, 3) -> (10, 2, 2)
(8, 1, 9) -> (9, 2, 8)","(3, 7, 4)","(4, 14, 3)","(+1, *2, -1)"
12,0,moderate,mid,moderate_mid,"(3, 2, 5) -> (7, 6, 1)
(2, 8, 8) -> (6, 24, 4)
(8, 7, 4) -> (12, 21, 0)
(2, 8, 1) -> (6, 24, -3)
(7, 7, 1) -> (11, 21, -3)","(8, 5, 4)","(12, 15, 0)","(+4, *3, -4)"
13,1,moderate,mid,moderate_mid,"(2, 9, 4) -> (4, 27, 2)
(5, 5, 5) -> (7, 15, 3)
(2, 8, 5) -> (4, 24, 3)
(8, 7, 7) -> (10, 21, 5)
(2, 5, 4) -> (4, 15, 2)","(6, 6, 5)","(8, 18, 3)","(+2, *3, -2)"
14,2,moderate,mid,moderate_mid,"(8, 5, 5) -> (9, 10, 4)
(4, 2, 2) -> (5, 4, 1)
(5, 9, 6) -> (6, 18, 5)
(5, 6, 7) -> (6, 12, 6)
(3, 4, 4) -> (4, 8, 3)","(8, 2, 2)","(9, 4, 1)","(+1, *2, -1)"
15,0,moderate,many,moderate_many,"(1, 2, 2) -> (5, 6, -2)
(6, 3, 5) -> (10, 9, 1)
(5, 4, 1) -> (9, 12, -3)
(3, 7, 7) -> (7, 21, 3)
(9, 6, 9) -> (13, 18, 5)
(8, 9, 5) -> (12, 27, 1)
(1, 1, 6) -> (5, 3, 2)
(8, 6, 7) -> (12, 18, 3)","(7, 9, 3)","(11, 27, -1)","(+4, *3, -4)"
16,1,moderate,many,moderate_many,"(4, 1, 9) -> (6, 3, 7)
(1, 3, 4) -> (3, 9, 2)
(1, 1, 3) -> (3, 3, 1)
(6, 4, 2) -> (8, 12, 0)
(6, 8, 6) -> (8, 24, 4)
(5, 7, 5) -> (7, 21, 3)
(6, 4, 4) -> (8, 12, 2)
(6, 6, 4) -> (8, 18, 2)","(5, 9, 7)","(7, 27, 5)","(+2, *3, -2)"
17,2,moderate,many,moderate_many,"(2, 3, 9) -> (3, 6, 8)
(3, 4, 3) -> (4, 8, 2)
(8, 7, 4) -> (9, 14, 3)
(4, 3, 7) -> (5, 6, 6)
(3, 3, 4) -> (4, 6, 3)
(4, 1, 7) -> (5, 2, 6)
(4, 2, 2) -> (5, 4, 1)
(7, 6, 3) -> (8, 12, 2)","(3, 9, 9)","(4, 18, 8)","(+1, *2, -1)"
18,0,complex,few,complex_few,"(7, 7, 1) -> (0, 6, 15)
(5, 9, 8) -> (4, 1, 22)
(7, 5, 8) -> (2, 3, 20)","(6, 4, 9)","(2, 5, 19)",diffs + total
19,1,complex,few,complex_few,"(5, 5, 3) -> (0, 2, 13)
(4, 3, 4) -> (1, 1, 11)
(3, 3, 2) -> (0, 1, 8)","(9, 4, 5)","(5, 1, 18)",diffs + total
20,2,complex,few,complex_few,"(4, 4, 7) -> (8, 11, 12)
(9, 1, 3) -> (10, 4, 13)
(8, 1, 9) -> (9, 10, 18)","(3, 7, 4)","(10, 11, 8)",pairwise sums +1
21,0,complex,mid,complex_mid,"(3, 2, 5) -> (1, 3, 10)
(2, 8, 8) -> (6, 0, 18)
(8, 7, 4) -> (1, 3, 19)
(2, 8, 1) -> (6, 7, 11)
(7, 7, 1) -> (0, 6, 15)","(8, 5, 4)","(3, 1, 17)",diffs + total
22,1,complex,mid,complex_mid,"(2, 9, 4) -> (7, 5, 15)
(5, 5, 5) -> (0, 0, 15)
(2, 8, 5) -> (6, 3, 15)
(8, 7, 7) -> (1, 0, 22)
(2, 5, 4) -> (3, 1, 11)","(6, 6, 5)","(0, 1, 17)",diffs + total
23,2,complex,mid,complex_mid,"(8, 5, 5) -> (13, 10, 14)
(4, 2, 2) -> (6, 4, 7)
(5, 9, 6) -> (14, 15, 12)
(5, 6, 7) -> (11, 13, 13)
(3, 4, 4) -> (7, 8, 8)","(8, 2, 2)","(10, 4, 11)",pairwise sums +1
24,0,complex,many,complex_many,"(1, 2, 2) -> (1, 0, 5)
(6, 3, 5) -> (3, 2, 14)
(5, 4, 1) -> (1, 3, 10)
(3, 7, 7) -> (4, 0, 17)
(9, 6, 9) -> (3, 3, 24)
(8, 9, 5) -> (1, 4, 22)
(1, 1, 6) -> (0, 5, 8)
(8, 6, 7) -> (2, 1, 21)","(7, 9, 3)","(2, 6, 19)",diffs + total
25,1,complex,many,complex_many,"(4, 1, 9) -> (3, 8, 14)
(1, 3, 4) -> (2, 1, 8)
(1, 1, 3) -> (0, 2, 5)
(6, 4, 2) -> (2, 2, 12)
(6, 8, 6) -> (2, 2, 20)
(5, 7, 5) -> (2, 2, 17)
(6, 4, 4) -> (2, 0, 14)
(6, 6, 4) -> (0, 2, 16)","(5, 9, 7)","(4, 2, 21)",diffs + total
26,2,complex,many,complex_many,"(2, 3, 9) -> (5, 12, 12)
(3, 4, 3) -> (7, 7, 7)
(8, 7, 4) -> (15, 11, 13)
(4, 3, 7) -> (7, 10, 12)
(3, 3, 4) -> (6, 7, 8)
(4, 1, 7) -> (5, 8, 12)
(4, 2, 2) -> (6, 4, 7)
(7, 6, 3) -> (13, 9, 11)","(3, 9, 9)","(12, 18, 13)",pairwise sums +1
