task_id,seed,complexity,evidence,difficulty_label,material,test_input,expected,item_desc
10,1,compound,few,compound_few,"  seflousdod = ""tall golden""
  wasush = ""enormous green""
  nouskeing = ""tiny blue""
  skinggeis = ""short red""",nauffpreffploil,small silver,compound (size+color)
11,2,compound,few,compound_few,"  haineinttwet = ""enormous golden""
  snabbloul = ""short orange""
  poushoup = ""wide green""
  finoid = ""large red""",waiplaux,thin silver,compound (size+color)
12,0,compound,mid,compound_mid,"  pajil = ""enormous golden""
  lamoux = ""small yellow""
  glaiseislud = ""wide purple""
  frouffloik = ""tiny red""
  spotwawel = ""thin green""
  trofraikvaff = ""large blue""
  blowoff = ""tiny red""
  floufrijaint = ""tall orange""",zentmouff,enormous golden,compound (size+color)
13,1,compound,mid,compound_mid,"  nushtreispeim = ""tall red""
  grislaugret = ""wide golden""
  kasnaukgaik = ""small silver""
  zilitjaint = ""large blue""
  romelfloung = ""thin orange""
  paifflom = ""short green""
  rauskauk = ""tiny yellow""
  vaisox = ""wide golden""",dravoup,enormous purple,compound (size+color)
14,2,compound,mid,compound_mid,"  twoiblesim = ""large golden""
  koukuk = ""enormous orange""
  wrauweis = ""small yellow""
  bedoclint = ""wide red""
  kistauk = ""tall blue""
  claurouk = ""thin silver""
  slaxwul = ""short green""
  broikauwunt = ""tiny purple""",paugroicraux,thin silver,compound (size+color)
15,0,compound,many,compound_many,"  swipriblein = ""enormous red""
  cloileimp = ""short purple""
  wrusaukus = ""wide silver""
  snaclang = ""tall green""
  troiptib = ""small golden""
  kaugoimiff = ""enormous red""
  fleprub = ""wide silver""
  wikskail = ""tall green""
  zauroproib = ""thin yellow""
  vouclabeill = ""small golden""
  saidraislen = ""short purple""
  toraufourn = ""large blue""",skoflebrak,tiny orange,compound (size+color)
16,1,compound,many,compound_many,"  tapiteib = ""large orange""
  bleibmeix = ""thin blue""
  skoslillgrint = ""short purple""
  snoivoil = ""enormous red""
  bouvousoff = ""wide green""
  zoimpvoiskeirn = ""short purple""
  gridroidlirn = ""small silver""
  taullpex = ""thin blue""
  fiskeid = ""large orange""
  blebplep = ""tall golden""
  sluslanois = ""tiny yellow""
  deiseill = ""tiny yellow""",sinskoirn,tall golden,compound (size+color)
17,2,compound,many,compound_many,"  groukskaimout = ""short green""
  haternclaub = ""enormous orange""
  foshnocrois = ""tall yellow""
  piclaubmount = ""wide blue""
  jaufaistaung = ""small golden""
  peisleilourn = ""thin red""
  rospouskex = ""tiny purple""
  globleseish = ""large silver""
  relblam = ""wide blue""
  clifrablis = ""enormous orange""
  glaixsleix = ""tiny purple""
  tainttoff = ""short green""",poiflaunkash,tall yellow,compound (size+color)
18,0,relational,few,relational_few,"  woutun-sipswaut = ""extremely purple""
  sipswaut = ""purple""
  woutun-fredoufeish = ""extremely red""
  woutun- = ""extremely (modifier)""",fleibloint-sipswaut,not purple,relational (modifier+base composition)
19,1,relational,few,relational_few,"  prastouff-seflousdod = ""very yellow""
  prastouff-nouskeing = ""very blue""
  seflousdod = ""yellow""
  prastouff- = ""very (modifier)""",nauffpreffploil-seflousdod,not yellow,relational (modifier+base composition)
20,2,relational,few,relational_few,"  haineinttwet = ""blue""
  waiplaux- = ""extremely (modifier)""
  poushoup-haineinttwet = ""not blue""
  poushoup- = ""not (modifier)""",waiplaux-snabbloul,extremely yellow,relational (modifier+base composition)
21,0,relational,mid,relational_mid,"  floufrijaint-trofraikvaff = ""barely blue""
  seiclouffking- = ""not (modifier)""
  glaiseislud- = ""almost (modifier)""
  trofraikvaff = ""blue""
  frouffloik = ""green""
  floufrijaint- = ""barely (modifier)""
  spotwawel-lamoux = ""extremely orange""
  seiclouffking-lamoux = ""not orange""",floufrijaint-lamoux,barely orange,relational (modifier+base composition)
22,1,relational,mid,relational_mid,"  vaisox = ""purple""
  zilitjaint-vaisox = ""very purple""
  rauskauk- = ""not (modifier)""
  paifflom = ""yellow""
  kasnaukgaik- = ""almost (modifier)""
  dravoup- = ""extremely (modifier)""
  romelfloung = ""orange""
  nushtreispeim = ""blue""",dravoup-vaisox,extremely purple,relational (modifier+base composition)
23,2,relational,mid,relational_mid,"  paugroicraux = ""orange""
  broikauwunt = ""blue""
  beidboub = ""purple""
  koukuk- = ""barely (modifier)""
  wrauweis- = ""slightly (modifier)""
  koukuk-broikauwunt = ""barely blue""
  bedoclint- = ""not (modifier)""
  slaxwul = ""yellow""",koukuk-paugroicraux,barely orange,relational (modifier+base composition)
24,0,relational,many,relational_many,"  zauroproib- = ""slightly (modifier)""
  troiptib- = ""not (modifier)""
  wikskail = ""golden""
  kaugoimiff = ""blue""
  wrusaukus-fleprub = ""almost orange""
  saidraislen- = ""barely (modifier)""
  cloileimp = ""silver""
  saidraislen-kaugoimiff = ""barely blue""
  toraufourn- = ""very (modifier)""
  snaclang- = ""extremely (modifier)""
  vouclabeill = ""purple""
  fleprub = ""orange""",saidraislen-cloileimp,barely silver,relational (modifier+base composition)
25,1,relational,many,relational_many,"  fiskeid = ""golden""
  deiseill = ""blue""
  tapiteib- = ""not (modifier)""
  bouvousoff- = ""slightly (modifier)""
  skoslillgrint- = ""extremely (modifier)""
  snoivoil- = ""very (modifier)""
  gridroidlirn = ""red""
  blebplep- = ""almost (modifier)""
  sinskoirn = ""orange""
  taullpex = ""purple""
  bouvousoff-taullpex = ""slightly purple""
  zoimpvoiskeirn = ""yellow""",bouvousoff-zoimpvoiskeirn,slightly yellow,relational (modifier+base composition)
26,2,relational,many,relational_many,"  tainttoff = ""orange""
  haternclaub- = ""not (modifier)""
  jaufaistaung-glaixsleix = ""almost green""
  globleseish-tainttoff = ""slightly orange""
  clifrablis = ""yellow""
  groukskaimout-peisleilourn = ""barely red""
  twintwril- = ""extremely (modifier)""
  glaixsleix = ""green""
  piclaubmount = ""golden""
  foshnocrois = ""blue""
  globleseish- = ""slightly (modifier)""
  groukskaimout- = ""barely (modifier)""",haternclaub-glaixsleix,not green,relational (modifier+base composition)
